smoothed_face_out_a,smoothed_face_out_b
0.12478524,0.09209474
0.12373124,0.09113471
0.12282796,0.09050764
0.123320125,0.08982755
0.12276875,0.0893656
0.12457034,0.09006107
0.123250246,0.0902182
0.12202631,0.09160969
0.12103181,0.09126059
0.12017691,0.09077421
0.11884242,0.09046134
0.1182366,0.089204386
0.118306026,0.09058208
0.11868914,0.09047474
0.11816766,0.090411976
0.11624201,0.08946645
0.11705304,0.0885029
0.11562984,0.08793224
0.1146507,0.08835811
0.11473421,0.08800718
0.113419935,0.08678515
0.11284836,0.086854756
0.11272779,0.086178
0.11183805,0.085749395
0.11186385,0.08489362
0.11260875,0.0848832
0.112288795,0.08513081
0.111547515,0.08487018
0.10859216,0.08797204
0.1082655,0.08886201
0.10904942,0.08877975
0.11094515,0.08779743
0.110872105,0.08658192
0.11105324,0.085925326
0.112282075,0.08691757
0.11254206,0.08530563
0.11103255,0.08506238
0.11037991,0.08561806
0.10950698,0.08545055
0.108889215,0.08460835
0.10853747,0.08438467
0.10709107,0.08421937
0.1063241,0.082495004
0.10617856,0.0827893
0.10768247,0.08276128
0.10715486,0.082420334
0.1111266,0.08302476
0.11100237,0.082670234
0.10811617,0.081845544
0.105633795,0.08068907
0.104914986,0.08088863
0.1046001,0.08018532
0.104639225,0.07914134
0.1029088,0.07891868
0.102187544,0.07954124
0.10099519,0.07919049
0.09900717,0.079284
0.10143669,0.07837173
0.10301369,0.0787849
0.10243527,0.078783564
0.101483315,0.07797936
0.10185527,0.07737777
0.10018457,0.07590377
0.09888878,0.07413774
0.097762465,0.074445836
0.09645785,0.07419266
0.09615114,0.07308749
0.09520221,0.07323843
0.095377475,0.07246939
0.095557004,0.07272809
0.09412715,0.07229184
0.09315256,0.07201947
0.09390756,0.07124412
0.094867915,0.07108227
0.09652675,0.070773
0.09579384,0.07012757
0.09623162,0.07037267
0.09614436,0.06992246
0.09590464,0.070244856
0.09449408,0.06951302
0.093874626,0.06993841
0.092914864,0.0694163
0.09210249,0.068857595
0.09237083,0.06854861
0.091230154,0.06775776
0.09117316,0.068577304
0.091814145,0.068184525
0.09253745,0.06901854
